IsoTemp	Yeast_sp	pval	Observed	Expected	Difference	BH_Padj
10	Goffeauzyma gastrica	0.5884	1	0.7191	0.2809	0.792653571428571
10	Candida nitratophila	0.5925	1	0.7295	0.2705	0.792653571428571
30	Meyerozyma guilliermondii	0.5939	1	0.7859	0.2141	0.792653571428571
10	Kwoniella heveanensis	0.5942	1	0.7269	0.2731	0.792653571428571
10	Pueraria montana	0.5944	1	0.727	0.273	0.792653571428571
30	Schwanniomyces vanrijiae	0.5949	1	0.7881	0.2119	0.792653571428571
10	Candida xestobii	0.5956	1	0.7278	0.2722	0.792653571428571
10	Holtermanniella takashimae	0.5956	1	0.7354	0.2646	0.792653571428571
30	Lachancea quebecensis	0.5956	1	0.7796	0.2204	0.792653571428571
10	Papiliotrema wisconsinensis	0.597	1	0.7316	0.2684	0.792653571428571
30	Candida germanica	0.5972	1	0.7884	0.2116	0.792653571428571
10	Leucosporidium fellii	0.5988	1	0.7282	0.2718	0.792653571428571
30	Scheffersomyces cyptocercus	0.5991	1	0.7895	0.2105	0.792653571428571
10	Candida parapsilosis	0.5992	1	0.7311	0.2689	0.792653571428571
10	Candida coipomoensis	0.5993	1	0.7325	0.2675	0.792653571428571
10	Cryptococcus surugaensis	0.6009	1	0.735	0.265	0.792653571428571
10	Candida melibiosica	0.6012	1	0.7384	0.2616	0.792653571428571
10	Metschnikowia reukaufii	0.6012	2	1.8281	0.1719	0.792653571428571
10	Cryptococcus musci	0.603	1	0.7357	0.2643	0.79266765578635
10	Scheffersomyces shehatae	0.6079	2	1.8503	0.1497	0.795309144542773
10	Geotrichum candidum	0.6086	2	1.8421	0.1579	0.795309144542773
10	Candida boidinii	0.611	2	1.8576	0.1424	0.796097058823529
10	Barnettozyma californica	0.6152	3	2.9362	0.0638000000000001	0.799218768328446
22	Hanseniaspora osmophila	0.6184	2	1.9106	0.0893999999999999	0.801026900584795
22	Yamadazyma mexicana	0.6203	2	1.9228	0.0771999999999999	0.801145481049563
4	Candida sake	0.6306	2	2.1053	-0.1053	0.812080813953489
30	Aureobasidium pullulans	0.6434	3	3.1246	-0.1246	0.826162898550725
22	Candida boleticola	0.6711	3	3.202	-0.202	0.859240751445087
22	Rhodotorula babjevae	0.6849	1	0.968	0.032	0.864098876404494
22	Meyerozyma guilliermondii	0.6863	1	0.9692	0.0308	0.864098876404494
22	Scheffersomyces cyptocercus	0.6869	1	0.9638	0.0362	0.864098876404494
22	Suhomyces xylopsoci/prunicola/pyralidae	0.6872	1	0.97	0.03	0.864098876404494
22	Sugiyamaella paludigena	0.6885	1	0.9653	0.0347	0.864098876404494
22	Lachancea quebecensis	0.6903	1	0.9687	0.0313	0.864098876404494
22	Pichia sp.	0.6904	1	0.9718	0.0282	0.864098876404494
22	Hanseniaspora sp.	0.6922	1	0.9706	0.0294	0.864098876404494
22	Cyberlindnera culbertsonii	0.6936	1	0.9729	0.0271	0.864098876404494
30	Cyberlindnera saturnus	0.6944	10	11.0099	-1.0099	0.864098876404494
30	Suhomyces ambrosiae	0.7015	1	1.0394	-0.0394000000000001	0.868552234636872
30	Zygowilliopsis californica	0.7019	1	1.0419	-0.0419	0.868552234636872
10	Cryptococcus sp.	0.707	3	3.3213	-0.3213	0.872426183844011
30	Candida norvegica	0.7102	1	1.0501	-0.0501	0.873940555555556
