Specific	Species	pval	Observed	Expected	Difference	BH_Padj
Fruit/Leaves	Pichia kluyveri	0.0575	1	0.059	0.941	0.2179375
Twigs	Teunomyces carpophila	0.0578	1	0.0589	0.9411	0.2179375
Nut	Candida mycetangii	0.058	1	0.0595	0.9405	0.2179375
Sand	Schwanniomyces vanrijiae	0.0594	1	0.0604	0.9396	0.2179375
Pine Cone	Cryptococcus pinus	0.0596	1	0.0606	0.9394	0.2179375
Fungus	Hyphopichia pseudoburtonii	0.0597	1	0.0597	0.9403	0.2179375
Plant Matter	Papiliotrema wisconsinensis	0.0598	1	0.0609	0.9391	0.2179375
Flotsam	Lachancea kluyveri	0.0599	1	0.061	0.939	0.2179375
Fungus	Suhomyces vadensis	0.0599	1	0.0599	0.9401	0.2179375
Fungus	Holtermanniella festucosa	0.0605	1	0.0605	0.9395	0.2179375
Lichen	Pichia manshurica	0.0606	1	0.0617	0.9383	0.2179375
Fungus	Suhomyces anneliseae	0.0609	1	0.0609	0.9391	0.2179375
Soil/Grass/Twigs	Cyberlindnera saturnus	0.0613	1	0.0627	0.9373	0.2179375
Fungus	Candida derodonti	0.0614	1	0.0614	0.9386	0.2179375
Nut	Pichia kluyveri	0.0614	1	0.0623	0.9377	0.2179375
Fungus	Cryptococcus filicatus	0.0616	1	0.0616	0.9384	0.2179375
Pine Cone	Yamadazyma mexicana	0.0616	1	0.063	0.937	0.2179375
Sand	Scheffersomyces spartinae	0.0622	1	0.064	0.936	0.2179375
Fungus	Hanseniaspora opuntiae	0.0624	1	0.0624	0.9376	0.2179375
Fungus	Sugiyamaella chiloensis	0.0629	1	0.0629	0.9371	0.2179375
Fruit	Cryptococcus victoriae	0.0631	2	0.4355	1.5645	0.2179375
Fungus	Cryptococcus musci	0.0632	1	0.0632	0.9368	0.2179375
Soil/Bark	Hanseniaspora vineae	0.0633	1	0.0648	0.9352	0.2179375
Fungus	Blastobotrys buckinghamii	0.0634	1	0.0634	0.9366	0.2179375
Wood	Teunomyces carpophila	0.0645	1	0.0664	0.9336	0.220657894736842
Plant Matter	Cyberlindnera fabianii	0.0651	1	0.0664	0.9336	0.220908018867925
Plant Matter	Piskurozyma taiwanensis	0.0654	1	0.0665	0.9335	0.220908018867925
Bark	Metschnikowia pulcherrima sp. complex	0.0655	15	10.0873	4.9127	0.220908018867925
Duff	Rhodotorula kratochvilovae	0.0666	1	0.0674	0.9326	0.222852803738318
Plant Matter	Mrakia robertii	0.0667	1	0.0681	0.9319	0.222852803738318
Moss	Rhodotorula glutinis	0.0672	1	0.0689	0.9311	0.223479069767442
Fungus	Nakazawaea holstii	0.0679	3	0.973	2.027	0.223882352941176
Plant Matter	Ambrosiozyma oregonensis	0.0683	1	0.0691	0.9309	0.223882352941176
Needles	Candida santamariae	0.0685	1	0.0705	0.9295	0.223882352941176
Fruit	Lachancea sp.	0.0688	1	0.0688	0.9312	0.223882352941176
Fungus	Vanrija humicola	0.0689	2	0.4439	1.5561	0.223882352941176
Soil/Grass	Wickerhamomyces anomalus	0.0692	1	0.0717	0.9283	0.223882352941176
Fruit	Metschnikowia bicuspidata	0.0699	1	0.0699	0.9301	0.225128378378378
Bark	Kluyveromyces marxianus	0.071	5	2.3869	2.6131	0.226676855895196
Leaves/Bark	Wickerhamomyces anomalus	0.0711	1	0.072	0.928	0.226676855895196
Fruit	Naganishia friedmannii	0.0718	1	0.0718	0.9282	0.226676855895196
Fruit	Candida argentea	0.0722	1	0.0722	0.9278	0.226676855895196
Fruit	Cryptococcus saitoi	0.0723	1	0.0723	0.9277	0.226676855895196
Fruit	Dothiora oleae	0.0724	1	0.0724	0.9276	0.226676855895196
Fruit	Oberwinklerozyma straminea	0.0726	1	0.0726	0.9274	0.226676855895196
Fruit	Rhodosporidium sp.	0.0732	1	0.0732	0.9268	0.227224576271186
Fruit	Rhodotorula sp.	0.0742	1	0.0742	0.9258	0.227224576271186
Duff	Coniochaeta ligniaria	0.0746	1	0.0764	0.9236	0.227224576271186
Fruit	Ogataea pini	0.0747	1	0.0747	0.9253	0.227224576271186
Fruit	Mrakia curviuscula	0.0749	1	0.0749	0.9251	0.227224576271186
Needles	Lecythophora sp.	0.0749	1	0.0764	0.9236	0.227224576271186
Pine Cone	Rhodotorula fujisanensis	0.075	1	0.0773	0.9227	0.227224576271186
Nut	Schwanniomyces polymorphus	0.0758	1	0.078	0.922	0.228679324894515
Sand	Rhodotorula glutinis	0.0768	1	0.0789	0.9211	0.22969375
Duff	Goffeauzyma gastrica	0.0771	1	0.0781	0.9219	0.22969375
Duff	Pichia galeiformis	0.0771	1	0.0784	0.9216	0.22969375
Sawdust	Kluyveromyces lactis	0.083	1	0.085	0.915	0.24598353909465
Bark	Leotiomycetes sp.	0.0836	4	1.7842	2.2158	0.24598353909465
Soil	Candida railenensis	0.0836	16	11.5806	4.4194	0.24598353909465
Leaves	Curvibasidium cygneicollum	0.0841	4	1.7238	2.2762	0.246440573770492
Soil/Grass	Meyerozyma caribbica	0.0861	1	0.0894	0.9106	0.250394736842105
Soil	Cryptococcus gastricus	0.0864	4	1.9323	2.0677	0.250394736842105
Fungus	Metschnikowia pulcherrima sp. complex	0.0865	6	3.131	2.869	0.250394736842105
