Yeast_sp	Plant_genus	pval	Observed	Expected	Difference	BH_Padj
Cryptococcus flavescens	Rhamnus	0.0809	1	0.084	0.916	0.186779649122807
Saccharomyces paradoxus	Hosta	0.0812	1	0.0835	0.9165	0.186816783216783
Nakazawaea anatomiae/populi sp. complex	Populus	0.0818	1	0.0841	0.9159	0.187541463414634
Teunomyces cretensis/kruisii complex	Ginkgo	0.0828	1	0.0862	0.9138	0.189175
Kuraishia molischiana	Malus	0.085	1	0.0882	0.9118	0.193529411764706
Aureobasidium pullulans	Malus	0.086	2	0.5041	1.4959	0.195131034482759
Candida pseudoglaebosa	Malus	0.0865	1	0.0878	0.9122	0.195146575342466
Candida sake	Syringa	0.0866	1	0.0888	0.9112	0.195146575342466
Cryptococcus victoriae	Pyrus	0.0877	1	0.0909	0.9091	0.196950853242321
Pichia manshurica	Malus	0.0883	1	0.0896	0.9104	0.197177702702703
Nakazawaea holstii	Juniperus	0.0886	1	0.0926	0.9074	0.197177702702703
Pichia terricola	Malus	0.0887	1	0.0907	0.9093	0.197177702702703
Lachancea waltii	Pinus	0.0897	1	0.0917	0.9083	0.198729292929293
Mrakia gelida	Tilia	0.0905	1	0.0937	0.9063	0.199820735785953
Candida sake	Cornus	0.0908	1	0.0938	0.9062	0.199820735785953
Metschnikowia pulcherrima sp. complex	Quercus	0.0917	10	6.4011	3.5989	0.200874587458746
Schwanniomyces pseudopolymorphus	Tsuga	0.0924	1	0.0963	0.9037	0.200874587458746
Cyberlindnera fabianii	Pinus	0.0925	1	0.0946	0.9054	0.200874587458746
Mrakia gelida	Platanus	0.0925	1	0.0947	0.9053	0.200874587458746
Mrakia blollopis	Rhamnus	0.0929	1	0.096	0.904	0.201079605263158
Cystofilobasidium capitatum	Symphoricarpos	0.0947	1	0.0985	0.9015	0.204303606557377
Lachancea fermentati	Juniperus	0.0959	1	0.0996	0.9004	0.205066019417476
Suhomyces tanzawaensis	Pinus	0.096	1	0.0988	0.9012	0.205066019417476
Wickerhamomyces anomalus	Prunus	0.0962	1	0.0995	0.9005	0.205066019417476
Yamadazyma mexicana	Fagus	0.0963	2	0.5595	1.4405	0.205066019417476
Candida sake	Thuja	0.0976	2	0.5358	1.4642	0.207163870967742
Cryptococcus sp.	Ulmus	0.0985	1	0.1036	0.8964	0.207733974358974
Suhomyces xylopsoci/prunicola/pyralidae	Pinus	0.0985	1	0.1006	0.8994	0.207733974358974
Mrakia blollopis	Picea	0.0989	1	0.1024	0.8976	0.207911182108626
Saturnispora zaruensis	Acer	0.0995	1	0.0995	0.9005	0.208506369426752
Wickerhamomyces anomalus	Rhododendron	0.0999	1	0.1037	0.8963	0.20868
Cryptococcus carnescens	Acer	0.1007	1	0.1007	0.8993	0.208987421383648
Holtermanniella takashimae	Acer	0.1008	1	0.1008	0.8992	0.208987421383648
Vanrija humicola	Carya	0.101	1	0.1047	0.8953	0.208987421383648
Lachancea thermotolerans	Liriodendron	0.1016	1	0.1063	0.8937	0.209569905956113
Lachancea thermotolerans	Lycopodium	0.1025	1	0.1074	0.8926	0.210519003115265
Nakazawaea holstii	Pinus	0.1027	2	0.5606	1.4394	0.210519003115265
Mrakia frigida	Populus	0.1033	1	0.1063	0.8937	0.210600617283951
Cryptococcus sp.	Vaccinium	0.1037	1	0.1072	0.8928	0.210600617283951
Cystofilobasidium mecerans	Acer	0.1037	1	0.1037	0.8963	0.210600617283951
Saturnispora dispora	Acer	0.1044	1	0.1044	0.8956	0.211125153374233
Candida railenensis	Lycopodium	0.1046	1	0.1088	0.8912	0.211125153374233
Mrakia gelida	Carya	0.1054	2	0.5604	1.4396	0.212044512195122
Candida railenensis	Pseudotsuga	0.1057	1	0.1103	0.8897	0.212044512195122
Ogataea zsoltii	Acer	0.1091	1	0.1091	0.8909	0.21813696969697
Cystofilobasidium capitatum	Cercis	0.1094	2	0.5802	1.4198	0.21813696969697
Meyerozyma caribbica	Salix	0.1099	1	0.1156	0.8844	0.218471903323263
Rhodotorula fujisanensis	Rubus	0.1104	1	0.1175	0.8825	0.218804819277108
